Family_ch,Alphabet,scientific_name
尺蛾科,A,Aethalura duplicata
尺蛾科,P,Peratostega deletaria deletaria
瘤蛾科,B,Blenina quinaria
尺蛾科,H,Heterophleps variegata
尺蛾科,E,Entomopteryx rubridisca
尺蛾科,S,Sibatania arizana arizana
裳蛾科,L,Lophoruza lunifera
裳蛾科,E,Eudocima homaena
草螟蛾科,G,Glyphodes duplicalis
裳蛾科,E,Enispa elataria
裳蛾科,H,Hipoepa fractalis
草螟蛾科,G,Glyphodes onychinalis
舟蛾科,C,Cnethodonta grisescens baibarana
舟蛾科,T,Tarsolepis japonica
刺蛾科,G,Griseothosea fasciata
駝蛾科,H,Hyblaea firmamentum
帶蛾科,A,Apha horishana
天蛾科,M,Macroglossum neotroglodytus
天蠶蛾科,R,Rinaca thibeta okurai
裳蛾科,C,Chalciope mygdon
尺蛾科,E,Ectropis excellens
舟蛾科,S,Syntypistis pallidifascia pallidifascia
舟蛾科,H,Higena trichosticha
裳蛾科,P,Pseudosphetta moorei
尺蛾科,E,Ectropis arizanensis
天蛾科,H,Hippotion velox
夜蛾科,X,Xanthodes transversa
天蛾科,M,Macroglossum sitiene
天蛾科,A,Ampelophaga rubiginosa myosotis
裳蛾科,H,Hulodes caranea
裳蛾科,N,Nudaria diaphanella
刺蛾科,B,Birthamula rufa
尺蛾科,A,Arichanna picaria
尺蛾科,S,Synegiodes ornata
裳蛾科,L,Locharna strigipennis
展足蛾科,S,Stathmopoda fusciumeraris
尺蛾科,E,Ectropis bhurmitra
裳蛾科,O,Ophiusa disjungens indiscriminata
天蠶蛾科,S,Saturnia pyretorum
尺蛾科,N,Naxidia punctata
天蛾科,M,Macroglossum saga
裳蛾科,B,Bastilla fulvotaenia
尺蛾科,G,Gymnoscelis tristrigosa
斑蛾科,P,Pidorus atratus
裳蛾科,I,Ischyja ferrifracta
尺蛾科,A,Agathia hemithearia
夜蛾科,C,Chrysodeixis eriosoma
裳蛾科,E,Eudocima okurai
草螟蛾科,G,Glyphodes bivitralis
鉤蛾科,H,Habrosyne indica formosana
舟蛾科,B,Benbowia takamukuanus
草螟蛾科,C,Crocidolomia pavonana
裳蛾科,C,Carsina kanshireiensis
裳蛾科,B,Bastilla joviana joviana
尺蛾科,B,Biston marginata
裳蛾科,A,Achaea janata
天蛾科,L,Langia zenzeroides formosana
尺蛾科,P,Psyra spurcataria
尾夜蛾科,L,Lophoptera squammigera
天蛾科,C,Cechetra minor
天蛾科,M,Marumba saishiuana formosana
夜蛾科,C,Checupa stegeri
菜蛾科,P,Plutella xylostella
尺蛾科,E,Ecliptopera delecta
尺蛾科,P,Palpoctenidia phoenicosoma semilauta
尺蛾科,C,Calletaera basipuncta
裳蛾科,E,Eutrogia morosa
草螟蛾科,B,Bocchoris inspersalis
裳蛾科,H,Hypersypnoides punctosa
裳蛾科,H,Hemipsilia coavestis
裳蛾科,H,Hypena sinuosa
尺蛾科,L,Lobogonia aculeata
夜蛾科,M,Mythimna yu
裳蛾科,M,Mecodina praecipua
夜蛾科,M,Mythimna albomarginata rubea
天蛾科,N,Neogurelca himachala sangaica
草螟蛾科,C,Circobotys aurealis
裳蛾科,N,Nyctemera albofasciata
裳蛾科,C,Cyana propinqua
舞蛾科,C,Choreutis sexfasciella
裳蛾科,A,Amsactoides solitaria
裳蛾科,M,Miltochrista ziczac
折角蛾科,D,Deltoplastis commatopa
舟蛾科,S,Syntypistis cyanea cyanea
鉤蛾科,N,Neoreta purpureofascia
刺蛾科,P,Phlossa conjuncta
尺蛾科,P,Percnia luridaria nominoneura
裳蛾科,C,Churinga virago
裳蛾科,S,Semiothisops macariata
裳蛾科,M,Matsumursine horishanella
刺蛾科,N,Narosa nigrisigna
夜蛾科,E,Exsula albomaculata
鉤蛾科,T,Tridrepana arikana
舟蛾科,C,Chadisra bipars
裳蛾科,O,Olene baibarana
舟蛾科,M,Mesophalera sigmata
尺蛾科,C,Collix stellata
尺蛾科,C,Chorodna ochreimacula
裳蛾科,M,Mecodina subcostalis
刺蛾科,S,Sansarea formosana
燕蛾科,W,Warreniplema fumicosta
燕蛾科,P,Pseudomicronia advocataria
刺蛾科,T,Thosea sinensis
尺蛾科,E,Entomopteryx combusta
天蛾科,T,Theretra oldenlandiae oldenlandiae
尺蛾科,X,Xandrames dholaria
尺蛾科,S,Scopula propinquaria
尺蛾科,X,Xerodes albonotaria aritai
舟蛾科,D,Dudusa synopla
刺蛾科,S,Setora postornata
裳蛾科,D,Dichromia trigonalis
草螟蛾科,A,Aethaloessa calidalis tiphalis
裳蛾科,E,Eressa confinis finitima
裳蛾科,P,Parallelia stuposa
天蛾科,R,Rhagastis castor formosana
尺蛾科,P,Psilalcis breta rantaizana
草螟蛾科,P,Paracymoriza nigra
尺蛾科,T,Thinopteryx nebulosa
枯葉蛾科,B,Bharetta owadai
螟蛾科,D,Doloessa viridis
夜蛾科,T,Trisuloides sericea
裳蛾科,B,Blasticorhinus bifasciata
裳蛾科,A,Aemene taiwana
枯葉蛾科,C,Cosmotriche discitincta discitincta
鉤蛾科,S,Sewa taiwana
尺蛾科,H,Hypocometa clauda
尺蛾科,G,Gnophos delitescens
裳蛾科,G,Goniocraspidum pryeri
裳蛾科,L,Lymantria iris
舟蛾科,C,Chadisra bipartita
天蛾科,M,Macroglossum fritzei
裳蛾科,A,Arna bipunctapex
鉤蛾科,O,Oreta loochooana
尺蛾科,C,Chrysocraspeda sanguinea
夜蛾科,P,Phlogophora albovittata
舟蛾科,S,Stauropus alternus alternus
鉤蛾科,H,Horithyatira decorata takamukui
夜蛾科,A,Acronicta intermedia
尺蛾科,U,Uliura infausta
尺蛾科,O,Opisthograptis punctilineata
捲葉蛾科,A,Arcesis threnodes
折角蛾科,T,Tisis mesozosta
螟蛾科,A,Arctioblepsis rubida
裳蛾科,R,Rusicada fulvida
裳蛾科,P,Parolulis renalis
裳蛾科,H,Hyperlopha compactilis
裳蛾科,H,Hypena albopunctalis
裳蛾科,E,Euproctis croceola
舟蛾科,F,Formofentonia orbifer rotundata
夜蛾科,D,Diarsia subtincta
舟蛾科,M,Methodioptera bruno
天蛾科,A,Ambulyx sericeipennis
尺蛾科,Z,Ziridava kanshireiensis
裳蛾科,S,Sinarella nigrisigna
尺蛾科,C,Comibaena procumbaria
天蛾科,D,Daphnis nerii
斑蛾科,M,Milleria formosana contradicta
裳蛾科,E,Euproctis inornata
天蛾科,M,Macroglossum corythus corythus
草螟蛾科,A,Analyta apicalis
草螟蛾科,P,Patania iopasalis
裳蛾科,O,Ophiusa trapezium
尺蛾科,A,Agathia laetata
尺蛾科,P,Plesiomorpha flaviceps
刺蛾科,D,Demonarosa rufotessellata subrosea
舟蛾科,R,Ramesa albistriga
刺蛾科,N,Nagodopsis shirakiana
裳蛾科,G,Gonitis mesogona
裳蛾科,H,Herminia undulata
夜蛾科,P,Plusiopalpa adrasta shisa
天蛾科,M,Macroglossum divergens heliophila
尺蛾科,S,Spaniocentra hollowayi
天蠶蛾科,A,Antheraea formosana
裳蛾科,A,Arctornis l-nigrum okurai
裳蛾科,M,Mecodina albodentata
螟蛾科,H,Herculia pelasgalis
裳蛾科,R,Rivula aequalis
枯葉蛾科,D,Dendrolimus punctatus
夜蛾科,C,Callopistria placodoides
螟蛾科,A,Arippara indicator
尺蛾科,S,Sarcinodes mongaku
尺蛾科,E,Ecliptopera umbrosaria stathera
尺蛾科,H,Hypomecis cineracea
裳蛾科,D,Diduga nantouensis
天蛾科,A,Acosmeryx formosana
草螟蛾科,C,Cnaphalocrocis limbalis
草螟蛾科,R,Rhectothyris gratiosalis
裳蛾科,A,Asota caricae
尾夜蛾科,A,Aplotelia diplographa
裳蛾科,C,Cephena costata
尺蛾科,C,Corymica deducta
夜蛾科,M,Mimeusemia vilemani
燕蛾科,C,Chundana emarginata
夜蛾科,T,Thysanoplusia orichalcea
裳蛾科,I,Ilema kosemponica
鉤蛾科,T,Thyatira batis formosicola
裳蛾科,C,Calyptra minuticornis bisacutum
舟蛾科,S,Semidonta basalis
天蛾科,M,Macroglossum pyrrhosticta
尺蛾科,N,Nadagara vagaia
尺蛾科,A,Agaraeus discolor
裳蛾科,P,Psimada quadripennis
燕蛾科,D,Dysaethria scopocera formosibia
草螟蛾科,G,Glyphodes actorionalis
裳蛾科,P,Progonia oileusalis
鉤蛾科,S,Strepsigonia diluta takamukui
尺蛾科,C,Catoria olivescens olivescens
尺蛾科,P,Perixera illepidaria
裳蛾科,S,Scedopla umbrosa
裳蛾科,A,Asuridia inouei
裳蛾科,H,Huangilene alikangiae alikangiae
草螟蛾科,T,Talanga sexpunctalis
裳蛾科,B,Bertula parallela
裳蛾科,D,Dura alba
尺蛾科,P,Phthonandria atrilineata cuneilinearia
夜蛾科,A,Apsarasa radians
尺蛾科,M,Menophra taiwana
鉤蛾科,A,Auzatellodes arizana
天蛾科,R,Rhagastis mongoliana
折角蛾科,A,Aetherastis albicapilla
裳蛾科,H,Huangilene kutzscheri
裳蛾科,B,Bertula centralis
草螟蛾科,D,Diplopseustis perieresalis
裳蛾科,A,Adrapsa ablualis
裳蛾科,B,Bertula hadenalis
夜蛾科,F,Fascionycta fasciata
尺蛾科,P,Problepsis albidior matsumurai
尺蛾科,H,Hypomecis punctinalis glos
尺蛾科,T,Timandra synthaca
裳蛾科,N,Neeugoa kanshireiensis
尺蛾科,P,Psilalcis pulveraria
裳蛾科,S,Sphrageidus virguncula
尺蛾科,P,Pogonopygia nigralbata
裳蛾科,K,Katha arizana
尺蛾科,H,Hydatocapnia gemina
裳蛾科,A,Aemene punctilinea
裳蛾科,M,Medama diplaga
草螟蛾科,P,Piletocera aegimiusalis
裳蛾科,H,Hypena iconicalis
瘤蛾科,N,Nola lucidalis nephodes
裳蛾科,M,Macaldenia palumba
裳蛾科,D,Dierna strigata
網蛾科,H,Herimba formosa
裳蛾科,P,Paracolax fentoni
裳蛾科,Z,Zurobata vacillans
裳蛾科,L,Laspeyria olivata
尺蛾科,C,Corymica arnearia
裳蛾科,E,Eublemma quadrapex
蕈蛾科,M,Machaeropteris petalacma
尺蛾科,H,Heterolocha satoi
尺蛾科,L,Leptomiza calcearia calcearia
尺蛾科,L,Lomographa percnosticta
尺蛾科,C,Calluga costalis
鉤蛾科,M,Macrauzata minor
鉤蛾科,T,Tridrepana unispina
尺蛾科,O,Ourapteryx caecata
舟蛾科,B,Besaia sordida
尺蛾科,C,Comibaena pictipennis pictipennis
蕈蛾科,T,Tinissa indica
瘤蛾科,N,Negeta contrariata
裳蛾科,B,Blavia scoteola
枯葉蛾科,G,Gastropacha pardale formosana
尺蛾科,A,Asthena undulata
尺蛾科,T,Tristeirometa decussata moltrechti
尺蛾科,G,Garaeus apicata formosanus
鉤蛾科,L,Leucoblepsis fenestraria
尺蛾科,G,Gasterocome pannosaria orta
尺蛾科,H,Hemistola simplex
裳蛾科,A,Adrapsa simplex
天蛾科,M,Marumba gaschkewitschii gressitti
枯葉蛾科,G,Gastropacha horishana horishana
夜蛾科,S,Spodoptera picta
燕蛾科,L,Lyssa zampa
草螟蛾科,G,Glyphodes stolalis
尾夜蛾科,A,Anigraea homochroa
舟蛾科,A,Allodontoides tenebrosa
裳蛾科,P,Plecoptera siderogramma
尾夜蛾科,A,Atacira affinis
裳蛾科,A,Autoba tristalis
裳蛾科,B,Bastilla amygdalis
裳蛾科,H,Hypospila bolinoides
舟蛾科,S,Somera viridifusca viridifusca
裳蛾科,T,Teuloma tainebula
裳蛾科,M,Mosopia punctilinea
尺蛾科,L,Luxiaria amasa amasa
草螟蛾科,T,Tyspanodes striata
尺蛾科,C,Chiasmia perfusaria
草螟蛾科,F,Filodes fulvidorsalis
天蛾科,T,Theretra silhetensis silhetensis
尺蛾科,M,Menophra parahumeraria
夜蛾科,A,Athetis brunneolineosa
裳蛾科,S,Simplicia discosticta
捲葉蛾科,C,Cryptophlebia repletana
裳蛾科,H,Hydrillodes gravatalis
舟蛾科,T,Tensha striatella
裳蛾科,S,Spilosoma fumida
尺蛾科,A,Alcis admissaria undularia
裳蛾科,E,Euproctis nigricauda
鉤蛾科,H,Horipsestis aenea aenea
裳蛾科,R,Rivula niveipuncta
夜蛾科,C,Callyna monoleuca
裳蛾科,M,Meteugoa ochrivena japonica
裳蛾科,L,Lophoruza albicostalis
裳蛾科,N,Nechesia albodentata
尺蛾科,S,Sarcinodes carnearia
裳蛾科,L,Lymantria grisea
裳蛾科,S,Simplicia bimarginata
夜蛾科,C,Callyna semivitta
刺蛾科,I,Iraga rugosa
舟蛾科,P,Pheosiopsis cinerea formosana
舟蛾科,R,Rachiades lichenicolor albimaculata
尺蛾科,C,Chrysocraspeda faganaria
舟蛾科,H,Hexafrenum leucodera yamamotoi
裳蛾科,D,Dichromia sagitta
瘤蛾科,B,Blenina senex
錨紋蛾科,T,Tetragonus catamitus
尾夜蛾科,L,Lophoptera phaeobasis
夜蛾科,A,Agrotis ipsilon
裳蛾科,P,Pangrapta costinotata
刺蛾科,M,Miresa fulgida
鉤蛾科,O,Oreta fuscopurpurea
夜蛾科,N,Niphonyx segregata
裳蛾科,C,Cosmophila lyona
裳蛾科,A,Ataboruza divisa
網蛾科,H,Herimba disconjuncta
尺蛾科,P,Perixera absconditaria
尺蛾科,J,Jodis rantaizanensis
駝蛾科,H,Hyblaea constellata
刺蛾科,Q,Quasinarosa corusca
尺蛾科,P,Protuliocnemis castalaria
蠹蛾科,P,Polyphagozerra coffeae
刺蛾科,F,Flavinarosa obscura
草螟蛾科,D,Diaphania indica
天蛾科,M,Macroglossum passalus
舟蛾科,N,Norracoides basinotata
夜蛾科,M,Mythimna subplacida
裳蛾科,L,Lemyra fallaciosa
燕蛾科,A,Acropteris leptaliata
尺蛾科,D,Doratoptera lutea
裳蛾科,L,Laspeyria ruficeps
裳蛾科,P,Paracolax pryeri
尺蛾科,A,Abaciscus tristis tristis
鉤蛾科,M,Microblepsis violacea
帶蛾科,G,Ganisa formosicola
尺蛾科,H,Hastina subfalcaria caeruleolineata
尺蛾科,P,Phthonoloba viridifasciata
裳蛾科,E,Eugoa cernyi
鉤蛾科,M,Macrocilix maia
尺蛾科,C,Comostola pyrrhogona
草螟蛾科,C,Caldubotys caldusalis
舟蛾科,S,Stauropus teikichiana teikichiana
尺蛾科,D,Dindica polyphaenaria
夜蛾科,G,Globia punctilinea
舟蛾科,N,Neodrymonia basalis seriatopunctata
裳蛾科,T,Taicallimorpha albipuncta
草螟蛾科,H,Hyalobathra coenostolalis
裳蛾科,E,Erygia apicalis
尺蛾科,H,Herochroma cristata
裳蛾科,C,Catocala macula macula
尺蛾科,A,Anisephyra ocularia
裳蛾科,H,Hypopyra vespertilio
斑蛾科,F,Fuscartona martini
裳蛾科,A,Arasada pyraliformis
刺蛾科,S,Scopelodes contractus
夜蛾科,P,Pseudodeltote postvittata
裳蛾科,B,Batracharta divisa
尺蛾科,C,Corymica pryeri
裳蛾科,H,Hypenagonia obliquifascia
天蛾科,P,Phyllosphingia dissimilis dissimilis
裳蛾科,A,Ammatho tairadiata
天蠶蛾科,R,Rhodinia verecunda
舟蛾科,S,Stauropus sikkimensis lushanus
舟蛾科,S,Syntypistis umbrosa
尺蛾科,M,Micronidia intermedia
舟蛾科,N,Neopheosia fasciata fasciata
草螟蛾科,A,Analthes taihokualis
草螟蛾科,L,Lipararchis tranquillalis
草螟蛾科,G,Glyphodes pyloalis
裳蛾科,A,Aloa lactinea
枯葉蛾科,E,Euthrix nigropuncta
瘤蛾科,S,Selepa celtis
舟蛾科,S,Syntypistis viridipicta
裳蛾科,B,Bocula marginata
夜蛾科,A,Anadevidia peponis
鉤蛾科,T,Tethea oberthueri taiwana
夜蛾科,A,Apospasta rantaizanensis
草螟蛾科,P,Pagyda auroralis
尺蛾科,H,Herochroma supraviridaria
裳蛾科,P,Pida postalba
折角蛾科,C,Caveana senuri
裳蛾科,C,Calliteara taiwana
裳蛾科,E,Eudocima tyrannus
瘤蛾科,E,Eligma narcissus
尺蛾科,S,Somatina plynusaria
羽蛾科,D,Diacrotricha fasciola
裳蛾科,N,Nagadeba indecoralis
尺蛾科,D,Dindica purpurata
裳蛾科,A,Anachrostis marginata
裳蛾科,C,Cosmophila flava
舟蛾科,L,Lophontosia fusca
裳蛾科,E,Euproctis purpureofasciata
尺蛾科,L,Lophophelma taiwana
尺蛾科,M,Macaria abydata
夜蛾科,A,Acronicta pruinosa
夜蛾科,M,Mythimna separata
草螟蛾科,P,Palpita asiaticalis
草螟蛾科,G,Glyphodes canthusalis
尺蛾科,I,Idiochlora ussuriaria mundaria
夜蛾科,M,Microxyla confusa
裳蛾科,E,Entomogramma fautrix
夜蛾科,H,Helicoverpa armigera
枯葉蛾科,S,Syrastrena sumatrana obliquilinea
尺蛾科,E,Eilicrinia flava
裳蛾科,H,Hadennia hisbonalis
尺蛾科,H,Heteralex aspersa formosana
瘤蛾科,N,Nola fasciata
裳蛾科,S,Spilarctia taiwanensis
尺蛾科,G,Gonodontis pallida
裳蛾科,A,Aroa substrigosa
尺蛾科,C,Chiasmia monticolaria notia
裳蛾科,C,Creatonotos gangis
天蠶蛾科,A,Antheraea pernyi
裳蛾科,E,Eugoa formosicola
尾夜蛾科,P,Penicillaria jocosatrix
裳蛾科,R,Rivula striatura
裳蛾科,M,Mecodina cineracea
草螟蛾科,G,Glauconoe deductalis
螟蛾科,E,Endotricha minialis
裳蛾科,O,Oglasa costimacula
鉤蛾科,D,Drepana pallida nigromaculata
裳蛾科,R,Rivula basalis
尺蛾科,P,Pareclipsis umbrata
裳蛾科,G,Goniocraspedon variegata
裳蛾科,C,Cruxoruza decorata
裳蛾科,U,Utetheisa lotrix
裳蛾科,H,Hypena taiwana
夜蛾科,S,Sesamia nigropunctata
尺蛾科,H,Harutaea flavizona
草螟蛾科,S,Symmoracma minoralis
尺蛾科,A,Amblychia moltrechti
裳蛾科,B,Bastilla acuta acuta
瘤蛾科,N,Nola formosalesa
裳蛾科,K,Katha magnata magnata
草螟蛾科,H,Hyalobathra illectalis
裳蛾科,H,Herminia grisealis
捲葉蛾科,I,Isodemis proxima
夜蛾科,C,Cymatophoropsis formosana
尺蛾科,A,Alcis semiusta
草螟蛾科,C,Chabula acamasalis
長足蛾科,A,Ashinaga longimana
尺蛾科,G,Gnophos caenosa
尺蛾科,A,Axinoptera anticostalis
尺蛾科,G,Gonanticlea aversa
夜蛾科,C,Callopistria nobilior
夜蛾科,D,Dipterygina cupreotincta
夜蛾科,D,Diarsia formosensis
尺蛾科,O,Odontopera bilinearia subarida
裳蛾科,G,Gesonia obeditalis
尺蛾科,A,Acasis viretata himalayica
斑蛾科,P,Piarosoma extravagans
夜蛾科,M,Mythimna radiata
尺蛾科,L,Lomographa inamata
草螟蛾科,B,Botyodes asialis
裳蛾科,L,Lymantria umbrifera
尺蛾科,D,Derambila dentifera
夜蛾科,A,Aedia leucomelas
尺蛾科,C,Comibaena cassidara
裳蛾科,H,Herminia kurokoi
尺蛾科,C,Comibaena subdelicata
尺蛾科,L,Lomographa claripennis
裳蛾科,P,Pilipectus taiwanus
夜蛾科,T,Thysanoplusia intermixta
尺蛾科,A,Amblychia sauteri
尺蛾科,M,Mesoptila melanolopha
尺蛾科,P,Protuliocnemis partita
草螟蛾科,S,Sameodes cancellalis
蕈蛾科,P,Pyloetis mimosae
裳蛾科,H,Hypocala subsatura
折角蛾科,L,Lecitholaxa thiodora
夜蛾科,M,Mythimna sinuosa
尺蛾科,O,Orthonama obstipata
鉤蛾科,M,Microblepsis rugosa
刺蛾科,H,Hampsonella arizana
